IDX_TagID,IDX_TagGUID,IDX_TagGroupID,IDX_TagName,IDX_Description,IDX_ChangeType,IDX_ChangeTimestamp,IDX_SourceUniqueTagID,IDX_TargetUniqueTagID,IDX_Maximum,IDX_Minimum,IDX_TimeDeadband,IDX_ValueDeadband,IDX_ValueAliasTemplate,IDX_AutoStepTimeout,IDX_Unit,IDX_EngUnits,IDX_TypeName,IDX_DataTypeID,IDX_InitialValue,IDX_InitialQuality,IDX_Stepped,IDX_HistoryMode,IDX_Compression,IDX_ValueExpiry,IDX_TagType,IDX_DataSize,IDX_RemoteWriteInterval,IDX_RemoteReadInterval,IDX_SourceType,etl_deleted
42177,f7a16ff3-1037-11ea-8362-00155d1d4e0a,1,MATRIX_JIG-MOD-1.APPLICATION-STATE,,2,2024-10-14T23:07:08.96Z,,,100,0,0,0,,0,,1,,2,0,0,true,3,4,86400,0,4,0,0,,true
5716,5c646cd3-3059-11e5-80d4-005056941628,1,MATRIX_JIG-MOD-2_COARSE.PROCESS-RUN-SIGNAL-EXPRESSION,,2,2024-10-14T23:07:08.96Z,,,1,0,0,0,,0,,1,,10,0,0,true,3,4,86400,0,4,0,0,,true
40619,e002a956-f731-11ea-8370-00155d1d4e0a,1,GSI-SEP_JIG-MOD-5_FINE-JIG.TOTAL-POWER-USAGE,,2,2024-10-14T23:07:08.96Z,,,100,0,0,0,,0,,1,,3,0,0,true,3,4,86400,0,4,0,0,,true
40625,e002a950-f731-11ea-8370-00155d1d4e0a,1,GSI-SEP_JIG-MOD-4_FINE-JIG.TOTAL-POWER-USAGE,,2,2024-10-14T23:07:08.96Z,,,100,0,0,0,,0,,1,,3,0,0,true,3,4,86400,0,4,0,0,,true
42200,f1a3bf5c-1037-11ea-8362-00155d1d4e0a,1,MATRIX_JIG-MOD-7_FINE.APPLICATION-STATE,,2,2024-10-14T23:07:08.96Z,,,100,0,0,0,,0,,1,,2,0,0,true,3,4,86400,0,4,0,0,,true
5732,da2ea304-3059-11e5-80d4-005056941628,1,MATRIX_JIG-MOD-3_MEDIUM-JIG.PROCESS-RUN-SIGNAL-EXPRESSION,,2,2024-10-14T23:07:08.96Z,,,1,0,0,0,,0,,1,,10,0,0,true,3,4,86400,0,4,0,0,,true
40572,e002a8f9-f731-11ea-8370-00155d1d4e0a,1,GSI-SEP_JIG-MOD-2_MEDIUM.TOTAL-POWER-USAGE,,2,2024-10-14T23:07:08.96Z,,,100,0,0,0,,0,,1,,3,0,0,true,3,4,86400,0,4,0,0,,true
5759,0bf46bcf-310b-11e5-80d4-005056941628,1,MATRIX_JIG-MOD-5_FINE.PROCESS-RUN-SIGNAL-EXPRESSION,,2,2024-10-14T23:07:08.96Z,,,1,0,0,0,,0,,1,,10,0,0,true,3,4,86400,0,4,0,0,,true
40565,e002a900-f731-11ea-8370-00155d1d4e0a,1,GSI-SEP_JIG-MOD-4_FINE.TOTAL-POWER-USAGE,,2,2024-10-14T23:07:08.96Z,,,100,0,0,0,,0,,1,,3,0,0,true,3,4,86400,0,4,0,0,,true
5794,773abc89-3139-11e5-80d4-005056941628,1,MATRIX_JIG-MOD-8_FINE-JIG.PROCESS-RUN-SIGNAL-EXPRESSION,,2,2024-10-14T23:07:08.96Z,,,1,0,0,0,,0,,1,,10,0,0,true,3,4,86400,0,4,0,0,,true
40563,e002a902-f731-11ea-8370-00155d1d4e0a,1,GSI-SEP_JIG-MOD-5_MEDIUM.TOTAL-POWER-USAGE,,2,2024-10-14T23:07:08.96Z,,,100,0,0,0,,0,,1,,3,0,0,true,3,4,86400,0,4,0,0,,true
42202,f1a3bf11-1037-11ea-8362-00155d1d4e0a,1,MATRIX_JIG-MOD-8_COARSE.APPLICATION-STATE,,2,2024-10-14T23:07:08.96Z,,,100,0,0,0,,0,,1,,2,0,0,true,3,4,86400,0,4,0,0,,true
40556,e002a909-f731-11ea-8370-00155d1d4e0a,1,GSI-SEP_JIG-MOD-7_FINE.TOTAL-POWER-USAGE,,2,2024-10-14T23:07:08.96Z,,,100,0,0,0,,0,,1,,3,0,0,true,3,4,86400,0,4,0,0,,true
5688,e9d3c7c3-209f-11e5-80d3-005056941628,1,MATRIX_JIG-MOD-1_COARSE-JIG.PROCESS-RUN-SIGNAL-EXPRESSION,,2,2024-10-14T23:07:08.96Z,,,1,0,0,0,,0,,1,,10,0,0,true,3,4,86400,0,4,0,0,,true
40607,e002a962-f731-11ea-8370-00155d1d4e0a,1,GSI-SEP_JIG-MOD-7_FINE-JIG.TOTAL-POWER-USAGE,,2,2024-10-14T23:07:08.96Z,,,100,0,0,0,,0,,1,,3,0,0,true,3,4,86400,0,4,0,0,,true
5792,77403171-3139-11e5-80d4-005056941628,1,MATRIX_JIG-MOD-8_MEDIUM-JIG.PROCESS-RUN-SIGNAL-EXPRESSION,,2,2024-10-14T23:07:08.96Z,,,1,0,0,0,,0,,1,,10,0,0,true,3,4,86400,0,4,0,0,,true
40616,e002a959-f731-11ea-8370-00155d1d4e0a,1,GSI-SEP_JIG-MOD-5_MEDIUM-JIG.TOTAL-POWER-USAGE,,2,2024-10-14T23:07:08.96Z,,,100,0,0,0,,0,,1,,3,0,0,true,3,4,86400,0,4,0,0,,true
5746,f23dceb1-3064-11e5-80d4-005056941628,1,MATRIX_JIG-MOD-4_FINE-JIG.PROCESS-RUN-SIGNAL-EXPRESSION,,2,2024-10-14T23:07:08.96Z,,,1,0,0,0,,0,,1,,10,0,0,true,3,4,86400,0,4,0,0,,true
42198,f1a3bf8b-1037-11ea-8362-00155d1d4e0a,1,MATRIX_JIG-MOD-7_COARSE.APPLICATION-STATE,,2,2024-10-14T23:07:08.96Z,,,100,0,0,0,,0,,1,,2,0,0,true,3,4,86400,0,4,0,0,,true
