IDX_TagName,IDX_Description,IDX_Minimum,IDX_Maximum,Timestamp,ValueString,ValueReal
SIS-JIG.SEP.PWO-SEP_T-CRUSHING.PROFIT_1_SCREEN2_AMPS.33.GAIN-VAL,,0,0,2024-10-14T10:06:59.7929014Z,0,0
SIS-JIG.SEP.PWO-SEP_T-CRUSHING.PROFIT_1_SCREEN2_AMPS.33.GAIN-VAL,,0,0,2024-10-14T10:06:59.7929014Z,0,0
SIS-JIG.SEP.PWO-SEP_T-CRUSHING.PROFIT_1_SCREEN1_AMPS.31.GAIN-VAL,,0,0,2024-10-14T10:06:59.7929014Z,0,0
SIS-JIG.SEP.PWO-SEP_T-CRUSHING.PROFIT_1_SCREEN1_AMPS.31.GAIN-VAL,,0,0,2024-10-14T10:06:59.7929014Z,0,0
SIS-JIG.SEP.PWO-SEP_T-CRUSHING.PROFIT_1_SCREEN1_AMPS.31.GAIN-VAL,,0,0,2024-10-14T10:06:59.7929014Z,0,0
SIS-JIG.SEP.PWO-SEP_T-CRUSHING.PROFIT_2_CHUTE_LEVEL2.30.GAIN-VAL,,0,0,2024-10-14T10:06:59.7929014Z,0,0
SIS-JIG.SEP.PWO-SEP_T-CRUSHING.PROFIT_2_CHUTE_LEVEL2.30.GAIN-VAL,,0,0,2024-10-14T10:06:59.7929014Z,0,0
SIS-JIG.SEP.PWO-SEP_T-CRUSHING.PROFIT_2_CHUTE_LEVEL2.30.GAIN-VAL,,0,0,2024-10-14T10:06:59.7929014Z,0,0
SIS-JIG.SEP.PWO-SEP_T-CRUSHING.PROFIT_3_SCREEN1_AMPS.30.GAIN-VAL,,0,0,2024-10-14T10:06:59.7929014Z,0,0
SIS-JIG.SEP.PWO-SEP_T-CRUSHING.PROFIT_3_SCREEN1_AMPS.30.GAIN-VAL,,0,0,2024-10-14T10:06:59.7929014Z,0,0
SIS-JIG.SEP.PWO-SEP_T-CRUSHING.PROFIT_3_SCREEN1_AMPS.30.GAIN-VAL,,0,0,2024-10-14T10:06:59.7929014Z,0,0
SIS-JIG.SEP.PWO-SEP_T-CRUSHING.PROFIT_1_CONV_G3000_WEIGHTOMETER.33.GAIN-VAL,,0,0,2024-10-14T10:06:59.7929014Z,0,0
SIS-JIG.SEP.PWO-SEP_T-CRUSHING.PROFIT_1_CONV_G3000_WEIGHTOMETER.33.GAIN-VAL,,0,0,2024-10-14T10:06:59.7929014Z,0,0
SIS-JIG.SEP.PWO-SEP_T-CRUSHING.PROFIT_1_CONV_G3000_WEIGHTOMETER.33.GAIN-VAL,,0,0,2024-10-14T10:06:59.7929014Z,0,0
SIS-JIG.SEP.PWO-SEP_T-CRUSHING.PROFIT_3_CHUTE_LEVEL2.32.GAIN-VAL,,0,0,2024-10-14T10:06:59.7929014Z,0,0
SIS-JIG.SEP.PWO-SEP_T-CRUSHING.PROFIT_3_CHUTE_LEVEL2.32.GAIN-VAL,,0,0,2024-10-14T10:06:59.7929014Z,0,0
SIS-JIG.SEP.PWO-SEP_T-CRUSHING.PROFIT_3_CHUTE_LEVEL2.32.GAIN-VAL,,0,0,2024-10-14T10:06:59.7929014Z,0,0
SIS-JIG.SEP.PWO-SEP_T-CRUSHING.PROFIT_2_CONV_G2868_AMPS.30.GAIN-VAL,,0,0,2024-10-14T10:06:59.7929014Z,0,0
SIS-JIG.SEP.PWO-SEP_T-CRUSHING.PROFIT_2_CONV_G2868_AMPS.30.GAIN-VAL,,0,0,2024-10-14T10:06:59.7929014Z,0,0
SIS-JIG.SEP.PWO-SEP_T-CRUSHING.PROFIT_2_CONV_G2868_AMPS.30.GAIN-VAL,,0,0,2024-10-14T10:06:59.7929014Z,0,0
SIS-JIG.SEP.PWO-SEP_T-CRUSHING.PROFIT_1_SCREEN1_AMPS.30.GAIN-VAL,,0,0,2024-10-14T10:06:59.7929014Z,0,0
SIS-JIG.SEP.PWO-SEP_T-CRUSHING.PROFIT_1_SCREEN1_AMPS.30.GAIN-VAL,,0,0,2024-10-14T10:06:59.7929014Z,0,0
SIS-JIG.SEP.PWO-SEP_T-CRUSHING.PROFIT_1_SCREEN1_AMPS.30.GAIN-VAL,,0,0,2024-10-14T10:06:59.7929014Z,0,0
SIS-JIG.SEP.PWO-SEP_T-CRUSHING.PROFIT_2_SCREEN2_AMPS.32.GAIN-VAL,,0,0,2024-10-14T10:06:59.7929014Z,0,0
SIS-JIG.SEP.PWO-SEP_T-CRUSHING.PROFIT_2_SCREEN2_AMPS.32.GAIN-VAL,,0,0,2024-10-14T10:06:59.7929014Z,0,0
SIS-JIG.SEP.PWO-SEP_T-CRUSHING.PROFIT_2_SCREEN2_AMPS.32.GAIN-VAL,,0,0,2024-10-14T10:06:59.7929014Z,0,0
SIS-JIG.SEP.PWO-SEP_T-CRUSHING.PROFIT_1_CONV_G2868_AMPS.31.GAIN-VAL,,0,0,2024-10-14T10:06:59.7929014Z,0,0
SIS-JIG.SEP.PWO-SEP_T-CRUSHING.PROFIT_1_CONV_G2868_AMPS.31.GAIN-VAL,,0,0,2024-10-14T10:06:59.7929014Z,0,0
SIS-JIG.SEP.PWO-SEP_T-CRUSHING.PROFIT_1_CONV_G2868_AMPS.31.GAIN-VAL,,0,0,2024-10-14T10:06:59.7929014Z,0,0
